crime_id,crime_type,criminal_id,neighbourhood_id
4109,Other,13522,89
4110,Theft Under $5000,14890,76
4111,Other Criminal Violations - Offensive Weapons,6972,129
4112,Other,29140,22
4113,Assaults,19910,40
4114,Total Arrests,11532,101
4115,Drive While Disqualified,14722,111
4116,Total Arrests,19207,129
4117,Other,4944,65
4118,Fraud,6531,79
4119,Other,11117,22
4120,Total Arrests,259,99
4121,Robbery,283,8
4122,Total Arrests,13938,17
4123,Other,1899,17
4124,Total Arrests,4136,90
4125,Assaults,6630,81
4126,Theft Under $5000,11169,78
4127,Assaults,26844,6
4128,Assaults,19585,110
4129,Drive While Impaired / Over 80,21495,14
4130,Other,23552,72
4131,Refuse Sample,613,54
4132,Other,31648,27
4133,Drive While Impaired / Over 80,14204,13
4134,Robbery,17072,60
4135,Assaults,20075,6
4136,Drive While Disqualified,25189,58
4137,Other,2308,49
4138,Total Arrests,7134,26
4139,Sexual Violations,11206,47
4140,Other,22894,5
4141,Theft Under $5000,26358,20
4142,Drive While Impaired / Over 80,5907,134
4143,Other,2592,59
4144,Other,27273,132
4145,Total Arrests,30220,17
4146,Total Arrests,30603,14
4147,Other,15150,13
4148,Other,12151,135
4149,Other,7184,128
4150,Dangerous Driving,21633,44
4151,Other,25151,119
4152,Other,31853,19
4153,Assaults,10103,63
4154,Total Arrests,21493,81
4155,Total Arrests,19989,100
4156,Other,17054,122
4157,Total Arrests,20749,44
4158,Break and Enter,23714,104
4159,Total Arrests,1284,61
4160,Other,924,125
4161,Other,1126,71
4162,Other,1530,107
4163,Assaults,30431,50
4164,Assaults,26171,65
4165,Total Arrests,8439,99
4166,Other,20096,32
4167,Theft Under $5000,16155,58
4168,Theft Under $5000,8005,128
4169,Other,9753,112
4170,Robbery,22659,68
4171,Robbery,10593,40
4172,Other,26820,132
4173,Other,3865,90
4174,Other,26516,28
4175,Assaults,29602,96
4176,Total Arrests,24218,31
4177,Theft Under $5000,27646,3
4178,Assaults,23173,136
4179,Total Arrests,227,24
4180,Total Arrests,15037,15
4181,Other,11740,45
4182,Other,16649,8
4183,Assaults,9588,71
4184,Other,11750,108
4185,Assaults,30130,115
4186,Total Arrests,646,103
4187,Total Arrests,30931,125
4188,Total Arrests,16300,57
4189,Other,23929,30
4190,Break and Enter,30091,114
4191,Theft Under $5000,21954,117
4192,Other,19375,60
4193,Assaults,13676,98
4194,Other,26476,126
4195,Total Arrests,18889,94
4196,Assaults,10965,134
4197,Fraud,16088,122
4198,Other,13538,108
4199,Other,13270,4
4200,Drive While Impaired / Over 80,9347,93
4201,Assaults,588,6
4202,Total Arrests,12764,32
4203,Assaults,26398,106
4204,Other,9178,15
4205,Other Criminal Violations - Offensive Weapons,4080,122
4206,Theft Under $5000,3349,96
4207,Other Criminal Violations - Offensive Weapons,22684,6
4208,Break and Enter,20216,112
4209,Total Arrests,25818,120
4210,Total Arrests,24766,123
4211,Other,30113,67
4212,Other,25557,106
4213,Other,26275,139
4214,Firearm-Related,18100,43
4215,Theft Under $5000,10786,96
4216,Theft Under $5000,12329,132
4217,Robbery,6451,81
4218,Other,13231,41
4219,Other,29010,133
4220,Other,5434,35
4221,Assaults,1099,22
4222,Other,7097,112
4223,Other,18711,11
4224,Other Criminal Violations - Offensive Weapons,11440,3
4225,Other,9088,137
4226,Fail to Remain,16022,60
4227,Theft Under $5000,6417,76
4228,Other,6981,87
4229,Total Arrests,23148,14
4230,Other,18059,18
4231,Sexual Violations,11102,113
4232,Other,7951,73
4233,Total Arrests,9123,23
4234,Break and Enter,12577,83
4235,Total Arrests,25300,125
4236,Drive While Impaired / Over 80,27517,69
4237,Other Criminal Violations - Offensive Weapons,30992,47
4238,Assaults,22434,116
4239,Robbery,1090,30
4240,Theft Under $5000,4579,25
4241,Other,9128,112
4242,Break and Enter,10488,25
4243,Total Arrests,156,74
4244,Other,25647,58
4245,Assaults,1959,94
4246,Other,10694,119
4247,Other,6345,127
4248,Assaults,5780,25
4249,Other,28796,78
4250,Other,22529,99
4251,Assaults,21448,116
4252,Assaults,3831,48
4253,Other,9047,10
4254,Firearm-Related,25216,99
4255,Sexual Violations,26815,11
4256,Other,9795,85
4257,Firearm-Related,23044,135
4258,Other,442,126
4259,Other,22425,64
4260,Other Criminal Violations - Offensive Weapons,30511,2
4261,Other,22310,76
4262,Theft Under $5000,14479,121
4263,Other,23743,42
4264,Other,4629,54
4265,Drive While Impaired / Over 80,6371,75
4266,Other,9529,16
4267,Other,28277,18
4268,Other,17333,90
4269,Robbery,11566,6
4270,Break and Enter,8180,108
4271,Break and Enter,16014,48
4272,Total Arrests,22500,42
4273,Fraud,16844,76
4274,Other Criminal Violations - Offensive Weapons,23953,77
4275,Assaults,21031,132
4276,Firearm-Related,393,130
4277,Total Arrests,12131,59
4278,Assaults,18172,27
4279,Break and Enter,29517,79
4280,Other Criminal Violations - Offensive Weapons,23759,72
4281,Other,10450,7
4282,Other,17523,111
4283,Other,28385,119
4284,Assaults,21126,63
4285,Theft Under $5000,7419,124
4286,Other,22747,12
4287,Other,2455,43
4288,Total Arrests,26043,17
4289,Theft Under $5000,20059,63
4290,Firearm-Related,17762,120
4291,Total Arrests,15224,36
4292,Firearm-Related,6702,8
4293,Other,2598,69
4294,Other Criminal Violations - Offensive Weapons,142,90
4295,Other,2660,36
4296,Other,20981,28
4297,Theft Under $5000,9032,118
4298,Other,15038,93
4299,Fraud,28195,76
4300,Dangerous Driving,13971,101
4301,Theft Over $5000,5662,14
4302,Other,6143,71
4303,Other,12110,124
4304,Drive While Impaired / Over 80,22011,125
4305,Assaults,8788,37
4306,Other,10097,29
4307,Total Arrests,8473,19
4308,Other,16808,106
4309,Other,23384,21
4310,Total Arrests,28942,64
4311,Fraud,4250,27
4312,Robbery,14950,55
4313,Other,1751,29
4314,Drive While Impaired / Over 80,21142,25
4315,Assaults,18352,70
4316,Other,4089,63
4317,Other,20563,130
4318,Other,24174,16
4319,Other,15283,100
4320,Assaults,19331,30
4321,Theft Under $5000,9642,45
4322,Fraud,21779,19
4323,Total Arrests,24265,34
4324,Other Criminal Violations - Offensive Weapons,26908,62
4325,Other Criminal Violations - Offensive Weapons,5076,118
4326,Total Arrests,10413,100
4327,Other,15687,22
4328,Other,28366,111
4329,Other,7231,73
4330,Other,15433,38
4331,Other,11003,70
4332,Other,13948,116
4333,Assaults,13687,79
4334,Assaults,29305,9
4335,Theft Under $5000,17916,32
4336,Total Arrests,13075,132
4337,Theft Under $5000,19375,50
4338,Fraud,23540,82
4339,Other,4494,5
4340,Other,25720,87
4341,Fraud,17318,126
4342,Other,1461,75
4343,Theft Under $5000,14141,22
4344,Assaults,19108,68
4345,Sexual Violations,31656,44
4346,Other,10705,34
4347,Other Criminal Violations - Offensive Weapons,16670,77
4348,Total Arrests,16649,42
4349,Other,26944,137
4350,Total Arrests,6817,106
4351,Assaults,11640,95
4352,Other Criminal Violations - Offensive Weapons,31540,135
4353,Robbery,14425,68
4354,Other,13966,128
4355,Other,29899,85
4356,Drive While Impaired / Over 80,29493,83
4357,Other Criminal Violations - Offensive Weapons,18147,95
4358,Total Arrests,11241,32
4359,Robbery,26958,66
4360,Theft Under $5000,26846,116
4361,Other,41,138
4362,Sexual Violations,5828,130
4363,Assaults,8260,60
4364,Other,17372,17
4365,Drive While Impaired / Over 80,30472,96
4366,Break and Enter,14850,16
4367,Fraud,16233,46
4368,Other Criminal Violations - Offensive Weapons,7805,107
4369,Other,24174,88
4370,Other,22102,129
4371,Firearm-Related,28585,139
4372,Theft Under $5000,30328,119
4373,Total Arrests,19583,85
4374,Theft Over $5000,5375,4
4375,Other,21175,71
4376,Assaults,23568,111
4377,Other,2525,50
4378,Refuse Sample,9278,140
4379,Sexual Violations,31601,95
4380,Other Criminal Violations - Offensive Weapons,18864,92
4381,Total Arrests,9886,65
4382,Fraud,26892,47
4383,Fail to Remain,21539,106
4384,Other,779,130
4385,Theft Under $5000,29166,106
4386,Other,26162,24
4387,Sexual Violations,1493,4
4388,Other,30463,108
4389,Other,17045,19
4390,Assaults,17733,40
4391,Drive While Impaired / Over 80,13616,50
4392,Other,25876,75
4393,Robbery,12133,12
4394,Sexual Violations,10179,27
4395,Total Arrests,7852,113
4396,Fraud,16289,49
4397,Other,7157,130
4398,Drive While Impaired / Over 80,2045,60
4399,Break and Enter,7369,30
4400,Other Criminal Violations - Offensive Weapons,19901,84
4401,Other,30601,28
4402,Drive While Impaired / Over 80,13636,25
4403,Other Criminal Violations - Offensive Weapons,25635,96
4404,Other Criminal Violations - Offensive Weapons,9169,125
4405,Other,20962,10
4406,Theft Under $5000,17112,42
4407,Fraud,27104,40
4408,Other,11329,77
4409,Sexual Violations,13320,105
4410,Other,23853,118
4411,Other,343,42
4412,Total Arrests,1448,47
4413,Drive While Impaired / Over 80,26956,22
4414,Assaults,6582,107
4415,Other,11852,27
4416,Other,6318,41
4417,Assaults,31279,80
4418,Total Arrests,16911,89
4419,Theft Under $5000,10089,66
4420,Theft Under $5000,12947,12
4421,Other,26650,73
4422,Assaults,29492,76
4423,Total Arrests,23133,90
4424,Total Arrests,16790,10
4425,Other,14568,96
4426,Other,14869,20
4427,Assaults,24371,39
4428,Other,9766,60
4429,Drive While Impaired / Over 80,30484,66
4430,Other,29177,65
4431,Assaults,20125,124
4432,Total Arrests,12467,130
4433,Other Criminal Violations - Offensive Weapons,28804,57
4434,Total Arrests,18231,78
4435,Other,17863,29
4436,Other,10588,15
4437,Assaults,31260,12
4438,Firearm-Related,772,101
4439,Fraud,21910,84
4440,Total Arrests,30796,125
4441,Other,16301,103
4442,Total Arrests,8771,24
4443,Dangerous Driving,11094,138
4444,Theft Under $5000,13804,110
4445,Theft Under $5000,194,78
4446,Theft Under $5000,2008,101
4447,Other,17570,128
4448,Robbery,18779,58
4449,Total Arrests,11191,76
4450,Drive While Impaired / Over 80,30057,36
4451,Theft Under $5000,9985,22
4452,Drive While Impaired / Over 80,9303,127
4453,Total Arrests,20390,80
4454,Assaults,7430,100
4455,Break and Enter,2262,96
4456,Total Arrests,20121,18
4457,Other,28370,38
4458,Other,26513,109
4459,Drive While Impaired / Over 80,6717,123
4460,Other,21260,104
4461,Other,28934,140
4462,Theft Under $5000,8922,81
4463,Drive While Impaired / Over 80,4379,87
4464,Assaults,7816,61
4465,Other,13779,46
4466,Assaults,19836,32
4467,Theft Under $5000,29034,15
4468,Other,24001,44
4469,Theft Under $5000,12729,54
4470,Other,10333,44
4471,Robbery,9837,98
4472,Other Criminal Violations - Offensive Weapons,2801,5
4473,Total Arrests,29539,109
4474,Robbery,30120,27
4475,Other,8334,116
4476,Robbery,5411,87
4477,Total Arrests,17840,104
4478,Firearm-Related,23277,123
4479,Assaults,30548,79
4480,Robbery,30520,43
4481,Other,5809,97
4482,Fraud,6797,31
4483,Other,21181,99
4484,Other,21478,17
4485,Other,10289,83
4486,Total Arrests,17710,110
4487,Theft Under $5000,21361,32
4488,Fraud,25790,35
4489,Theft Under $5000,17544,133
4490,Total Arrests,4651,29
4491,Other,29076,70
4492,Other,4988,95
4493,Other,15201,22
4494,Assaults,4698,69
4495,Refuse Sample,30503,89
4496,Break and Enter,16725,72
4497,Other,3829,129
4498,Theft Under $5000,18353,87
4499,Total Arrests,17088,96
4500,Other Criminal Violations - Offensive Weapons,12606,75
4501,Fraud,31338,54
4502,Assaults,5483,88
4503,Other,27006,54
4504,Other,22761,16
4505,Other,18185,99
4506,Other Criminal Violations - Offensive Weapons,5464,20
4507,Theft Under $5000,13861,46
4508,Other,4913,127
4509,Fraud,4649,58
4510,Assaults,856,111
4511,Total Arrests,26389,129
4512,Drive While Impaired / Over 80,2867,81
4513,Total Arrests,11835,84
4514,Drive While Impaired / Over 80,16295,70
4515,Theft Under $5000,16567,8
4516,Other,3113,29
4517,Fraud,22055,112
4518,Theft Under $5000,4493,131
4519,Total Arrests,22208,108
4520,Assaults,15115,109
4521,Other,1518,20
4522,Other,16019,73
4523,Refuse Sample,21387,4
4524,Fraud,17741,19
4525,Other,26751,102
4526,Other,20014,86
4527,Other,20013,52
4528,Other,28673,111
4529,Other,11432,109
4530,Fraud,28268,86
4531,Other,8211,43
4532,Drive While Disqualified,11596,42
4533,Drive While Impaired / Over 80,12872,90
4534,Assaults,12744,115
4535,Total Arrests,27581,26
4536,Robbery,22517,43
4537,Other,9325,77
4538,Other,11532,137
4539,Assaults,6589,20
4540,Refuse Sample,3312,39
4541,Theft Under $5000,22433,12
4542,Fraud,27949,11
4543,Other,31322,42
4544,Other,22631,11
4545,Dangerous Driving,988,38
4546,Other,3322,98
4547,Total Arrests,15813,19
4548,Other Criminal Violations - Offensive Weapons,4616,134
4549,Total Arrests,15513,116
4550,Other,13147,113
4551,Other,24750,65
4552,Total Arrests,13655,99
4553,Drive While Impaired / Over 80,20126,72
4554,Other,3053,52
4555,Total Arrests,22959,118
4556,Assaults,727,120
4557,Total Arrests,3761,7
4558,Other,22191,11
4559,Total Arrests,1876,103
4560,Other,23378,61
4561,Other,13970,68
4562,Other,4034,140
4563,Total Arrests,5444,102
4564,Other,17374,110
4565,Other,3745,140
4566,Drive While Impaired / Over 80,27263,51
4567,Assaults,24996,117
4568,Total Arrests,16978,46
4569,Drive While Impaired / Over 80,31205,53
4570,Other,1775,88
4571,Fraud,10652,121
4572,Other,936,13
4573,Sexual Violations,13396,89
4574,Assaults,29809,125
4575,Other,3809,118
4576,Other,16716,54
4577,Other,11642,116
4578,Total Arrests,24307,118
4579,Dangerous Driving,19087,4
4580,Other,14377,75
4581,Fraud,28583,49
4582,Theft Under $5000,5890,7
4583,Other,5055,110
4584,Assaults,3869,122
4585,Other,20585,11
4586,Total Arrests,16586,92
4587,Other,18882,23
4588,Other,1843,28
4589,Dangerous Driving,10059,111
4590,Other,26573,57
4591,Other,29962,26
4592,Firearm-Related,9102,54
4593,Assaults,12498,29
4594,Other,4659,97
4595,Assaults,11382,14
4596,Other,31433,78
4597,Other,7545,35
4598,Theft Under $5000,7719,30
4599,Other,13852,92
4600,Other Criminal Violations - Offensive Weapons,17155,17
4601,Other,19540,93
4602,Other,27078,79
4603,Assaults,27291,110
4604,Drive While Impaired / Over 80,29301,102
4605,Fraud,11778,106
4606,Total Arrests,1629,47
4607,Assaults,30374,64
4608,Other,387,64
4609,Other,6032,87
4610,Total Arrests,27998,7
4611,Dangerous Driving,6440,22
4612,Sexual Violations,22786,81
4613,Total Arrests,13393,74
4614,Other,20393,138
4615,Other,28670,135
4616,Assaults,28940,125
4617,Other,18851,50
4618,Other,2283,52
4619,Total Arrests,1857,1
4620,Total Arrests,15671,4
4621,Robbery,24365,132
4622,Fraud,1999,4
4623,Drive While Impaired / Over 80,31706,1
4624,Drive While Impaired / Over 80,5477,71
4625,Other,9429,35
4626,Robbery,4670,8
4627,Assaults,12337,36
4628,Total Arrests,9343,123
4629,Other Criminal Violations - Offensive Weapons,20703,43
4630,Dangerous Driving,7065,27
4631,Break and Enter,7447,32
4632,Fraud,17816,78
4633,Other,5625,121
4634,Firearm-Related,7462,16
4635,Other,1820,99
4636,Theft Under $5000,10517,47
4637,Fail to Remain,13750,31
4638,Other,17515,4
4639,Attempted Murder,30354,17
4640,Sexual Violations,22948,39
4641,Other,2659,48
4642,Other,3501,39
4643,Fail to Remain,24951,132
4644,Other,2121,30
4645,Break and Enter,4021,22
4646,Drive While Disqualified,10214,66
4647,Other,28282,108
4648,Assaults,29726,12
4649,Total Arrests,3260,36
4650,Dangerous Driving,28012,18
4651,Fraud,10082,90
4652,Theft Under $5000,1824,1
4653,Other Criminal Violations - Offensive Weapons,17859,127
4654,Attempted Murder,18627,90
4655,Sexual Violations,13468,87
4656,Drive While Impaired / Over 80,19628,90
4657,Other,6991,134
4658,Refuse Sample,21545,70
4659,Firearm-Related,3135,44
4660,Robbery,18455,86
4661,Firearm-Related,16744,19
4662,Other,15435,101
4663,Break and Enter,31280,95
4664,Firearm-Related,15008,101
4665,Total Arrests,10234,30
4666,Other Criminal Violations - Offensive Weapons,16379,33
4667,Other,1142,12
4668,Sexual Violations,18020,118
4669,Assaults,30076,94
4670,Assaults,20385,137
4671,Other,10136,76
4672,Drive While Impaired / Over 80,12967,29
4673,Assaults,3362,117
4674,Other,22968,15
4675,Assaults,7836,2
4676,Robbery,11173,117
4677,Other,16391,18
4678,Fail to Remain,3268,3
4679,Theft Under $5000,6565,135
4680,Theft Under $5000,26168,108
4681,Theft Over $5000,21313,95
4682,Fraud,27841,122
4683,Total Arrests,18991,11
4684,Fraud,11412,68
4685,Other,5907,123
4686,Assaults,16029,113
4687,Sexual Violations,19658,98
4688,Sexual Violations,7612,93
4689,Other,17298,22
4690,Dangerous Driving,2012,127
4691,Other,17827,134
4692,Break and Enter,21931,25
4693,Other,11247,85
4694,Other,13791,55
4695,Total Arrests,11739,95
4696,Other,28798,119
4697,Theft Under $5000,14731,9
4698,Other,29489,42
4699,Dangerous Driving,11121,53
4700,Total Arrests,18214,74
4701,Robbery,8768,39
4702,Other Criminal Violations - Offensive Weapons,22853,122
4703,Other,13704,15
4704,Other,930,123
4705,Fraud,11952,111
4706,Theft Under $5000,20084,131
4707,Assaults,26040,83
4708,Other,27852,10
4709,Break and Enter,15846,92
4710,Other,29505,29
4711,Other,17439,35
4712,Fraud,15748,6
4713,Total Arrests,5745,140
4714,Theft Under $5000,18285,111
4715,Assaults,9650,38
4716,Theft Over $5000,6981,77
4717,Total Arrests,7070,93
4718,Sexual Violations,9592,67
4719,Assaults,19800,136
4720,Drive While Disqualified,443,8
4721,Other,28227,122
4722,Other,22603,84
4723,Drive While Impaired / Over 80,4653,132
4724,Drive While Impaired / Over 80,24324,85
4725,Total Arrests,24218,45
4726,Theft Under $5000,9371,136
4727,Drive While Impaired / Over 80,7598,87
4728,Theft Under $5000,14326,16
4729,Assaults,4459,77
4730,Total Arrests,6592,9
4731,Total Arrests,16347,60
4732,Assaults,25834,78
4733,Other,11827,77
4734,Robbery,26418,71
4735,Total Arrests,18694,15
4736,Other Criminal Violations - Offensive Weapons,14139,71
4737,Total Arrests,22653,102
4738,Other,17295,22
4739,Drive While Impaired / Over 80,20725,113
4740,Other,29214,1
4741,Assaults,20394,10
4742,Robbery,23013,110
4743,Other Criminal Violations - Offensive Weapons,2170,113
4744,Other,18557,50
4745,Refuse Sample,22053,12
4746,Other,6314,89
4747,Other,8316,112
4748,Drive While Impaired / Over 80,8037,78
4749,Total Arrests,31779,121
4750,Assaults,27735,23
4751,Fraud,23174,134
4752,Other,30404,25
4753,Other,786,18
4754,Other,6140,43
4755,Firearm-Related,6345,78
4756,Total Arrests,18801,28
4757,Other,25373,59
4758,Other,28749,63
4759,Robbery,20539,92
4760,Assaults,31151,56
4761,Break and Enter,14974,111
4762,Other,5620,137
4763,Drive While Impaired / Over 80,1937,68
4764,Other,26733,46
4765,Total Arrests,3808,67
4766,Theft Over $5000,7152,136
4767,Other Criminal Violations - Offensive Weapons,9494,6
4768,Sexual Violations,12356,24
4769,Fraud,27717,94
4770,Other,3237,13
4771,Other,15849,25
4772,Total Arrests,2353,118
4773,Other,1933,82
4774,Other,10914,111
4775,Break and Enter,8557,82
4776,Theft Under $5000,21301,66
4777,Total Arrests,5499,45
4778,Assaults,10583,114
4779,Theft Under $5000,17331,63
4780,Robbery,31619,76
4781,Fraud,13866,114
4782,Total Arrests,9570,111
4783,Theft Under $5000,17824,35
4784,Other,27757,53
4785,Total Arrests,24115,26
4786,Dangerous Driving,4858,14
4787,Assaults,341,118
4788,Other,11182,45
4789,Attempted Murder,16767,51
4790,Drive While Impaired / Over 80,29676,119
4791,Other,26133,19
4792,Other,8492,82
4793,Fraud,139,76
4794,Other,359,92
4795,Assaults,21316,33
4796,Total Arrests,9715,28
4797,Drive While Impaired / Over 80,19841,123
4798,Sexual Violations,1628,126
4799,Other,30655,37
4800,Other,25880,99
4801,Other,15997,98
4802,Other,23011,127
4803,Fraud,5005,80
4804,Other,25711,38
4805,Other,31586,77
4806,Firearm-Related,26763,126
4807,Assaults,13284,87
4808,Drive While Impaired / Over 80,31155,54
4809,Other,6653,16
4810,Robbery,22801,28
4811,Fraud,19555,46
4812,Theft Under $5000,20220,72
4813,Total Arrests,24402,85
4814,Other,2152,26
4815,Other,9430,85
4816,Other,14073,65
4817,Break and Enter,11928,134
4818,Assaults,6906,115
4819,Fraud,19219,64
4820,Theft Under $5000,12453,87
4821,Other,25575,107
4822,Other,16213,96
4823,Other,18952,77
4824,Fail to Remain,1308,87
4825,Other,14853,57
4826,Total Arrests,25233,103
4827,Assaults,2661,91
4828,Other,10404,45
4829,Other Criminal Violations - Offensive Weapons,26486,88
4830,Total Arrests,20115,115
4831,Firearm-Related,10239,47
4832,Other,6208,135
4833,Theft Under $5000,19547,50
4834,Assaults,1141,84
4835,Total Arrests,30562,91
4836,Other,24843,134
4837,Other Criminal Violations - Offensive Weapons,26422,91
4838,Robbery,1709,137
4839,Other,3631,109
4840,Other,19596,57
4841,Assaults,10486,31
4842,Other,28309,21
4843,Total Arrests,12022,90
4844,Fail to Remain,22923,40
4845,Theft Under $5000,26087,112
4846,Total Arrests,16860,45
4847,Other,7685,77
4848,Attempted Murder,25553,87
4849,Firearm-Related,1208,101
4850,Fraud,13332,117
4851,Firearm-Related,1961,92
4852,Other,558,28
4853,Other,29690,25
4854,Robbery,15884,58
4855,Other,13894,41
4856,Assaults,883,134
4857,Break and Enter,26771,75
4858,Total Arrests,4762,38
4859,Total Arrests,27244,134
4860,Other,5868,75
4861,Other Criminal Violations - Offensive Weapons,23348,66
4862,Theft Under $5000,29536,3
4863,Robbery,12870,117
4864,Theft Under $5000,7167,99
4865,Theft Under $5000,12983,19
4866,Total Arrests,7930,116
4867,Fraud,5348,125
4868,Total Arrests,7270,88
4869,Other,26187,35
4870,Drive While Impaired / Over 80,28065,1
4871,Other,24510,126
4872,Assaults,13528,89
4873,Fraud,2455,25
4874,Other,20879,16
4875,Firearm-Related,18331,73
4876,Other,29387,129
4877,Total Arrests,12992,42
4878,Assaults,2809,80
4879,Attempted Murder,6643,104
4880,Fraud,3826,34
4881,Break and Enter,3537,89
4882,Assaults,30387,125
4883,Break and Enter,22453,45
4884,Other,15310,134
4885,Other,3803,21
4886,Assaults,28754,122
4887,Total Arrests,21084,70
4888,Other,18355,96
4889,Theft Under $5000,22191,105
4890,Fraud,6143,48
4891,Other,28399,39
4892,Total Arrests,19204,31
4893,Drive While Impaired / Over 80,9095,10
4894,Other,365,30
4895,Other,20643,18
4896,Theft Under $5000,19504,88
4897,Assaults,27135,125
4898,Other,15689,73
4899,Total Arrests,1864,15
4900,Other Criminal Violations - Offensive Weapons,16500,4
4901,Other,7085,9
4902,Drive While Impaired / Over 80,8017,109
4903,Other,2385,137
4904,Other,29553,132
4905,Other,15073,16
4906,Refuse Sample,3936,99
4907,Theft Under $5000,13128,121
4908,Assaults,14483,52
4909,Total Arrests,7743,69
4910,Other,16166,5
4911,Assaults,21827,20
4912,Other,2491,79
4913,Theft Under $5000,23365,111
4914,Drive While Impaired / Over 80,13325,2
4915,Other,25519,93
4916,Drive While Impaired / Over 80,24046,13
4917,Other,18109,4
4918,Other Criminal Violations - Offensive Weapons,26911,109
4919,Assaults,24567,74
4920,Assaults,19152,95
4921,Total Arrests,1138,105
4922,Total Arrests,27104,8
4923,Fraud,20502,67
4924,Other,3421,110
4925,Assaults,5846,9
4926,Total Arrests,21163,117
4927,Other,3907,11
4928,Total Arrests,20022,99
4929,Refuse Sample,19338,42
4930,Other,22314,120
4931,Other,26944,12
4932,Total Arrests,12414,37
4933,Drive While Disqualified,277,74
4934,Other,18384,73
4935,Other,17612,52
4936,Other,6338,130
4937,Theft Under $5000,11945,56
4938,Assaults,20120,60
4939,Assaults,15907,23
4940,Other Criminal Violations - Offensive Weapons,17080,103
4941,Total Arrests,25886,40
4942,Sexual Violations,20537,64
4943,Other,24286,85
4944,Other,23855,89
4945,Other,27811,31
4946,Other Criminal Violations - Offensive Weapons,12307,20
4947,Other,23922,130
4948,Theft Under $5000,10504,13
4949,Total Arrests,19226,122
4950,Total Arrests,4209,103
4951,Other,28136,106
4952,Assaults,11591,119
4953,Fraud,25118,70
4954,Fraud,10887,99
4955,Drive While Disqualified,12867,82
4956,Other,1089,75
4957,Other,3364,118
4958,Total Arrests,25,84
4959,Fraud,9765,69
4960,Total Arrests,22529,59
4961,Drive While Impaired / Over 80,27535,126
4962,Other,22053,111
4963,Drive While Impaired / Over 80,20621,62
4964,Assaults,9960,128
4965,Theft Under $5000,12936,105
4966,Assaults,8069,68
4967,Dangerous Driving,18620,15
4968,Other,7296,35
4969,Theft Under $5000,8393,14
4970,Other,11391,102
4971,Total Arrests,8449,100
4972,Total Arrests,20132,7
4973,Other,29219,30
4974,Other,10434,49
4975,Other,15039,111
4976,Total Arrests,19560,72
4977,Other,28183,80
4978,Assaults,11529,83
4979,Drive While Impaired / Over 80,21282,42
4980,Theft Under $5000,21422,17
4981,Other,15744,7
4982,Assaults,23812,10
4983,Firearm-Related,8606,34
4984,Theft Under $5000,2015,36
4985,Dangerous Driving,1382,6
4986,Other,1099,134
4987,Total Arrests,19811,29
4988,Total Arrests,20040,126
4989,Other,24323,81
4990,Sexual Violations,9102,75
4991,Other,188,26
4992,Total Arrests,28621,127
4993,Refuse Sample,11949,115
4994,Break and Enter,10208,126
4995,Other,21794,28
4996,Robbery,2093,131
4997,Total Arrests,28221,75
4998,Other,18515,78
4999,Theft Under $5000,5243,90
5000,Total Arrests,8550,21
5001,Theft Over $5000,22032,54
5002,Other,5186,103
5003,Total Arrests,15272,59
5004,Total Arrests,5777,72
5005,Firearm-Related,26999,20
5006,Other,12450,112
5007,Total Arrests,24298,59
5008,Other,23932,71
5009,Theft Under $5000,7824,137
5010,Other Criminal Violations - Offensive Weapons,15718,109
5011,Sexual Violations,7356,129
5012,Drive While Impaired / Over 80,6466,56
5013,Drive While Impaired / Over 80,12738,35
5014,Firearm-Related,17882,123
5015,Theft Under $5000,13325,131
5016,Other,30904,104
5017,Theft Under $5000,10351,7
5018,Break and Enter,30623,27
5019,Other Criminal Violations - Offensive Weapons,2556,1
5020,Other,21794,87
5021,Assaults,26919,41
5022,Theft Under $5000,2952,123
5023,Other,17623,75
5024,Assaults,25550,42
5025,Other,4728,117
5026,Sexual Violations,20350,63
5027,Total Arrests,5687,127
5028,Theft Under $5000,25627,133
5029,Other,3702,48
5030,Other,2781,3
5031,Robbery,23783,116
5032,Other,17973,99
5033,Theft Under $5000,28455,116
5034,Other Criminal Violations - Offensive Weapons,2369,14
5035,Sexual Violations,31633,112
5036,Drive While Impaired / Over 80,15593,61
5037,Firearm-Related,22174,95
5038,Firearm-Related,437,17
5039,Assaults,2829,124
5040,Other,1557,24
5041,Theft Under $5000,23955,116
5042,Total Arrests,13365,82
5043,Fraud,28435,50
5044,Break and Enter,23865,79
5045,Attempted Murder,25881,79
5046,Sexual Violations,15062,70
5047,Total Arrests,30751,27
5048,Other,10577,15
5049,Other,16567,50
5050,Assaults,7191,36
5051,Other,23072,8
5052,Drive While Disqualified,5566,79
5053,Other,23626,131
5054,Assaults,15370,47
5055,Other,24036,105
5056,Robbery,21960,98
5057,Firearm-Related,1590,96
5058,Fraud,26164,116
5059,Other,25236,13
5060,Total Arrests,160,1
5061,Robbery,12146,34
5062,Fraud,15374,79
5063,Dangerous Driving,31922,78
5064,Other Criminal Violations - Offensive Weapons,6556,121
5065,Total Arrests,16238,93
5066,Theft Over $5000,9204,98
5067,Other,8245,82
5068,Theft Under $5000,14744,38
5069,Dangerous Driving,31567,14
5070,Other,13334,136
5071,Sexual Violations,13342,91
5072,Assaults,23231,54
5073,Other,18692,130
5074,Theft Under $5000,1229,101
5075,Other,23611,89
5076,Other,5591,56
5077,Other,23304,94
